,tweet_id,user_id,created_at,tweet,username,name,location,clean_text
20,1505571499905794052,219039018,2022-03-20T15:46:32.000Z,"@VodafoneUK mobile internet speeds very slow these last couple of days, websites not loading, very frustrating. Service affected in London?",JackLancefield,Jack Lancefield,#TeamLeftFootRightFoot,mobile internet speeds slow couple days websites loading frustrating service affected london
22,1505571208678494215,18860971,2022-03-20T15:45:22.000Z,@VodafoneUK I’m so happy for you and your family and your love of the queen 👸     😂🤣,Lummo,Andy Lumsden,"Southampton, England",happy family love queen
23,1505569241772457987,41894658,2022-03-20T15:37:34.000Z,"@VodafoneUK I'm so happy when i eat your birthday cake 🎂😂

#InternationalDayOfHappiness",staceyhillx,Staceyhillx,england ,happy eat birthday cake internationaldayofhappiness
25,1505563701851693063,41199281,2022-03-20T15:15:33.000Z,@VodafoneUK I’m so happy when you’re in the sun ☀️ #InternationalDayOfHappiness,TaylaCourtice,Tayla Courtice,United Kingdom,happy sun internationaldayofhappiness
26,1505562815830106114,370399238,2022-03-20T15:12:01.000Z,@VodafoneUK I'm so happy when I have a lovely day and I love you so much for the birthday wishes (lol its was my birthday the other day) #VodafoneTreats,tinkertink2010,💗DANIELLE V💗,NORTH WEST,happy lovely day love birthday wishes lol birthday day vodafonetreats
28,1505559833637961733,153391583,2022-03-20T15:00:10.000Z,@VodafoneUK I'm so happy when you get a follow back on my way home from work.,Kodanshi,𓂓𓈙‎𓆑𓀀,𝚂𝚊𝚟𝚎 𝚆𝚊𝚛𝚙,happy follow way home work
30,1505556377858723840,980773418583908353,2022-03-20T14:46:27.000Z,@VodafoneUK .... When I'm holding a cup of hot tea and sat outside #InternationalDayOfHappiness,Wizarding_about,Onion,"Wiltshire, South West England ",holding cup hot tea sat outside internationaldayofhappiness
31,1505556016435539970,774640819835904000,2022-03-20T14:45:00.000Z,@VodafoneUK I'm so happy when you get home and you squat on my feet,Chunky_Lover__,jim guy,uranus,happy home squat feet
32,1505555748394311684,120476200,2022-03-20T14:43:56.000Z,@VodafoneUK Iam so happy-go-lucky when the sunshines 🌞 #VodafoneTreats,RedRoses4,Sherieann,#Norwich #Norfolk UK,iam happygolucky sunshines vodafonetreats
34,1505553764249395208,39044484,2022-03-20T14:36:03.000Z,@VodafoneUK Hunting for a lost city in the Philippines,GillybeansH,Gillian Hitchen,England,hunting lost city philippines
35,1505553064920555520,1306881801575686146,2022-03-20T14:33:17.000Z,"@VodafoneUK I'm so happy when you have a great patio 
🪴🌷🌺🌿🌼 #InternationalDayOfHappiness #VodafoneTreats",Michelle_C_123,Michelle 🕊️☮️,"Tyne and Wear, England",happy great patio internationaldayofhappiness vodafonetreats
36,1505552057700397058,20985858,2022-03-20T14:29:17.000Z,@VodafoneUK I'm so happy when the sky is blue and the sun is here #InternationalDayOfHappiness,miichamontaz,miicha m,"Scotland, United Kingdom",happy sky blue sun internationaldayofhappiness
37,1505551927802802178,2742943009,2022-03-20T14:28:46.000Z,@VodafoneUK I'm so happy when I have a handful of people who have been taken in September 2021 🤔🤔,fur_khanda,furkhanda haxton,Bonnie Scotland,happy handful people taken september
38,1505545124566249481,273134199,2022-03-20T14:01:44.000Z,@VodafoneUK #VodafoneTreats I’m so happy when I have time you will be happy,Zoey_d1,Zoey Deacon,leicester,vodafonetreats happy time happy
40,1505541598679080964,76942119,2022-03-20T13:47:43.000Z,"@VodafoneUK I'm so happy when you have time to get something else from school tomorrow morning and tomorrow morning and tomorrow morning.
🤔😂",grex9101,grex9101,"Hell, MI",happy time school tomorrow morning tomorrow morning tomorrow morning
41,1505539636067979264,829689102,2022-03-20T13:39:55.000Z,@VodafoneUK I’m so happy when I get my food 🤤#InternationalDayOfHappiness #VodafoneTreats,Joe_Roscoe,Joe Roscoe,"Preston | Manchester, UK",happy food internationaldayofhappiness vodafonetreats
42,1505538747701604352,160192939,2022-03-20T13:36:23.000Z,@VodafoneUK I’m so happy with my family.,PHC419,Dave Milne,"anywhere, but here",happy family
44,1505537675549458438,3431435331,2022-03-20T13:32:08.000Z,@VodafoneUK I don’t think it will happen again!,Darrenjs68,Darren,"South West, England",think happen again
45,1505537627222650880,2517236098,2022-03-20T13:31:56.000Z,@VodafoneUK I’m so happy when you are home 😊,thatsgoodgravy,kate chambers #gotyourbacknhs,"London, England",happy home
46,1505537544116744196,773592924554657792,2022-03-20T13:31:36.000Z,@VodafoneUK I'm so happy when you said you were a bit of a meltdown with dad last week and I hope you're okay and having a good time away from the book of the day Wendy believes that we have a deal for the weekend cause its been a couple of weeks since we last heard from you so,jstphotos,Jake Taylor,Essex,happy said bit meltdown dad week hope okay good time away book day wendy believes deal weekend cause couple weeks heard
49,1505532738438316038,28638806,2022-03-20T13:12:30.000Z,@VodafoneUK I’m so happy when you are my best to have a great time with. #VodafoneTreats,Leah_The_Zebra,Leah The Zebra 🎭🦓,"Bristol, UK",happy best great time with vodafonetreats
50,1505532509802610688,989514860261203969,2022-03-20T13:11:36.000Z,"@VodafoneUK I'm so happy when you get a chance to check in the morning and then we'll be in touch with you and your family 😂
#InternationalDayOfHappiness #VodafoneTreats",NameIsRichard,Richard,"England, United Kingdom",happy chance check morning touch family internationaldayofhappiness vodafonetreats
51,1505532020851625984,1244063115630858241,2022-03-20T13:09:39.000Z,@VodafoneUK Maybe edit this and change auto correct to predict,yuill_r,Brian Yuill,"Glasgow, Scotland",maybe edit change auto correct predict
52,1505531665854128131,889409698620985344,2022-03-20T13:08:15.000Z,@VodafoneUK I'm so happy when you get back from a very long weekend,The1stkidsnova,Kelly Whitlam,"East Midlands, England",happy long weekend
53,1505528459514286089,76747157,2022-03-20T12:55:30.000Z,@VodafoneUK I’m so happy when you’re ready to go for the walk in a park and then we can go see a movie 🍿 #InternationalDayOfHappiness,misssamc,Samantha Coles,"Wales, United Kingdom",happy ready walk park movie internationaldayofhappiness
54,1505526988013981696,803266874549137408,2022-03-20T12:49:39.000Z,@VodafoneUK I realise Tesco mobile are offering the same priced tariff for the same amount of months but with 5x the amount of data 😍 (and I've been with Vodafone for 17 years...),jamrobertso,Jamie Robertson,"England, United Kingdom",realise tesco mobile offering priced tariff months x data and vodafone years
55,1505525693534322690,2968029167,2022-03-20T12:44:31.000Z,@VodafoneUK I'm so happy when you get back from a couple more weeks away and I'm just so tired you don't want me know what they say they don't want me #Vodaphonetreats,jschapman4,Joy Chapman,"Spalding, England",happy couple weeks away tired want know want vodaphonetreats
57,1505523096765227013,937232965196795904,2022-03-20T12:34:12.000Z,"@VodafoneUK I'm so happy when I have never played with the s20's in the last couple of years....
#VodafoneTreats",BarryJohnWilli3,Darth Fluff 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇺🇦,"Wales, United Kingdom",happy played ss couple years vodafonetreats
58,1505523060484579339,70805270,2022-03-20T12:34:03.000Z,@VodafoneUK I'm so happy when I get a chance to share with you and your family and friends for a while to get the latest flash player is required for video playback is unavailable right now because this video is not available on this device is not available on this device is not available on,naughtyrob0t,Naughtyrobot,naughtyrobott@gmail.com,happy chance share family friends latest flash player required video playback unavailable right video available device available device available
59,1505522000571338753,211662593,2022-03-20T12:29:50.000Z,@VodafoneUK I'm so happy when you are all alone in a bid for a new orchestra.,hljwest,Hannah West 💙,Herefordshire,happy bid new orchestra
61,1505521443509051405,827646397,2022-03-20T12:27:38.000Z,"@VodafoneUK #VodafoneTreats

I’m so happy when I have a new phone and I love you 😍 

#InternationalDayOfHappiness",kloubear88,Kirsty Lou,"Chesterfield, England",vodafonetreats happy new phone love internationaldayofhappiness
62,1505519976400277511,907810153,2022-03-20T12:21:48.000Z,@VodafoneUK I’m so happy when I get home and I don’t have to do anything #VodafoneTreats,sarahc1986,Sarah Charnock,Wigan,happy home vodafonetreats
63,1505519896721084421,1118969672454615041,2022-03-20T12:21:29.000Z,@VodafoneUK I’m so happy when you are home and I will be able to help you with the kids #VodafoneTreats #InternationalDayOfHappiness,JayDogUFC,UFCJayDog,United Kingdom,happy home able help kids vodafonetreats internationaldayofhappiness
64,1505519800348549126,249545535,2022-03-20T12:21:06.000Z,@VodafoneUK I’m so happy when… you are home safe!,ShandyMandys,Shandy Mandy,Dahn Sarf. UK,happy when home safe
65,1505519586631892992,2487236884,2022-03-20T12:20:15.000Z,@VodafoneUK I'm so happy when you say you don't like football,KellyShaw31,Kelly #teamlegend/#teamyounglives shaw,here there and everywhere 👽📻,happy like football
66,1505519298055393288,2831643698,2022-03-20T12:19:06.000Z,"@VodafoneUK …I saw your face ❤️ 
#InternationalDayOfHappiness https://t.co/OroIWNHwH7",swimforce01,Michael ✈️🌴😎🏊🏻‍♂️,London/Miami ,i saw face internationaldayofhappiness
67,1505518358384553987,2831832240,2022-03-20T12:15:22.000Z,"@VodafoneUK I’m so happy when the sun shines bright, it makes me happy. ☀️😎 #InternationalDayOfHappiness",Builtough,Grant,"London, England",happy sun shines bright makes happy internationaldayofhappiness
69,1505517345116143621,64056880,2022-03-20T12:11:20.000Z,@VodafoneUK the birds visit the garden #InternationalHappinessDay https://t.co/2YpgCmiJzD,clarateddy,Juliette 💕,London,birds visit garden internationalhappinessday
70,1505517187762737153,2842548803,2022-03-20T12:10:43.000Z,@VodafoneUK I’m so happy when you get a moment thank goodness I will need you too lol #VodafoneTreats #InternationalDayOfHappiness,BirdNerdSophie,Sophie Barnett 🦜,"Hertfordshire, UK",happy moment thank goodness need lol vodafonetreats internationaldayofhappiness
71,1505517068204060674,922044476,2022-03-20T12:10:14.000Z,@VodafoneUK I'm so happy when you have read your emails 😅,thompsonjack18,Jack Thompson,"North West, England",happy read emails
73,1505515343548141571,66480461,2022-03-20T12:03:23.000Z,@VodafoneUK I’m so happy when I get to the point where I am so happy!,essievessey,Estelle Vessey 💙🥳😍🙏✈️,St Leonards on Sea,happy point happy
74,1505515065365213187,437754276,2022-03-20T12:02:17.000Z,"@VodafoneUK I’m so happy when you are home and you can get it to work on the time and you have a great time 

😆 turned predictive text on especially for this!",Therealspubble,Kirsty O,"Ipswich, Suffolk",happy home work time great time turned predictive text especially this
75,1505514789673615363,54736293,2022-03-20T12:01:11.000Z,@VodafoneUK I’m so happy when you’re in your car lol 😂,elcloak,🇬🇧 Jonny Dawes 🇺🇦,"Gloucester, England",happy car lol
77,1505514346713079817,1216289377544032257,2022-03-20T11:59:26.000Z,@VodafoneUK The sun shines #VodafoneTreats #InternationalDayOfHappiness,Paul19RedTitles,Paul,"Liverpool, England",sun shines vodafonetreats internationaldayofhappiness
78,1505514257248657408,20391803,2022-03-20T11:59:04.000Z,@VodafoneUK I’M so happy when you get back into the park and we will see how much we love and miss everyone…. https://t.co/eBHAHqk4df,marktimmins,Mark Timmins,"Galashiels, Scottish Borders",happy park love miss everyone
79,1505513685942517764,837271780003885056,2022-03-20T11:56:48.000Z,"@VodafoneUK I’m so happy when you are home safe and sound and relaxing 😂

#InternationalDayOfHappiness",countluckula,ᒪeigh,United Kingdom,happy home safe sound relaxing internationaldayofhappiness
80,1505513499337891844,103375178,2022-03-20T11:56:03.000Z,@VodafoneUK I’m so happy when … I’m not going anywhere else but I’m going on the phone and I’m watching Netflix #VodafoneTreats #InternationalDayOfHappiness,LadyAngelaT,LadyT,"Edinburgh, Scotland",happy going going phone watching netflix vodafonetreats internationaldayofhappiness
81,1505513127198265345,1498592812064980992,2022-03-20T11:54:35.000Z,@VodafoneUK I’m so happy when I see me dog Chester face especially when I get a treat 💕🐶 #VodafoneTreats,Anagram_60,Margate 📚 🌈 🍀,"North East, England",happy dog chester face especially treat vodafonetreats
82,1505512672099450881,28327880,2022-03-20T11:52:46.000Z,@VodafoneUK I’m so happy when you’re in a rush and I just need a break and I’ll be there for a few hours so I’ll be home by later on Friday if I need anything else I need you for dinner and I love my day and you guys too and I’ll be happy for today too good for me and I’ll let her be happy,s_hambles,Sam (@🏡),"England, United Kingdom",happy rush need break hours home later friday need need dinner love day guys happy today good let happy
83,1505512506751655940,4375618277,2022-03-20T11:52:07.000Z,"@VodafoneUK The world isn't messed up, and people are at peace with each other.

And United lose.",kippaxmcfc1,Antony .🤟🇺🇦,"Manchester, England",world messed up people peace other united lose
84,1505512333950529536,2470801,2022-03-20T11:51:26.000Z,@VodafoneUK I’m so happy when you are in the sun lol I just hope you’re having fun and I love it #InternationalDayOfHappiness,roblawton,Rob Lawton,"Preston, UK",happy sun lol hope fun love internationaldayofhappiness
85,1505512299070640130,37512310,2022-03-20T11:51:17.000Z,"@VodafoneUK I'm so happy when I get a chance to look at the moment so I can help you with the phone

Haha. I kept smashing the middle word 🤣 #VodafoneTreats",wickdaman,Richard Conway,"Suffolk, England",happy chance look moment help phone haha kept smashing middle word vodafonetreats
86,1505512069692600321,37743168,2022-03-20T11:50:23.000Z,@SaulPampson @VodafoneUK He looks like a really good dog,NC3FXX,Jordan Ashley,Views My Own,looks like good dog
90,1505509743489687553,292626376,2022-03-20T11:41:08.000Z,@VodafoneUK I'm so happy whenever I have adana with you for the long weekend about the new job I can get the money from the shop in a row with my account details so I have adana the amount I can get it for you xxx,bentyeboom,Ben Tye,Sunderland,happy adana long weekend new job money shop row account details adana xxx
91,1505508899549585409,62009956,2022-03-20T11:37:47.000Z,@VodafoneUK I’m so happy when I collect my @O2 rewards! 😁😇,chris_greenf,Chris Greenfield,"Norwich, UK",happy collect rewards
92,1505508446434639872,898845021738237953,2022-03-20T11:35:59.000Z,"@VodafoneUK I'm so happy when I have a parcel to collect 😂😂😂

#InternationalDayOfHappiness",TheOnlyAlisonL,Alison,Yorkshire ,happy parcel collect internationaldayofhappiness
93,1505508237751336963,30891441,2022-03-20T11:35:09.000Z,@VodafoneUK I’m so happy when you’re done and you have to do it all the way. 🤣 #VodafoneTreats,TigOfTheDump,Tig,Derby UK,happy way vodafonetreats
94,1505507861299974147,1295874924,2022-03-20T11:33:39.000Z,@VodafoneUK I am so happy when I have more time to look after my family together.,nomiasg,noman asghar,"Burnley, England",happy time look family together
96,1505507663446265861,42200662,2022-03-20T11:32:52.000Z,@VodafoneUK I’m so happy when I have a look at the moment and I will look into the other day and get back to you on the beak of the course all next week too as I am currently working on the project so I will be back on Tuesday and Tuesday next week for the rest of the week and the rest,itsjasonwhite,ⒿⓌ,London UK,happy look moment look day beak course week currently working project tuesday tuesday week rest week rest
97,1505506718888992768,4859336085,2022-03-20T11:29:07.000Z,@VodafoneUK I'm so happy when we get drunk,ShaunboiOrigins,Ferguson x,Yer maw,happy drunk
99,1505505627233308673,882464576834555904,2022-03-20T11:24:47.000Z,@VodafoneUK I’m so happy when the Sun is shining and the sky is blue #InternationalDayOfHappiness. #VodafoneTreats https://t.co/5h28rkZ0Xi,Bobblebaggins,jackie graham,Yorkshire and The Humber,happy sun shining sky blue internationaldayofhappiness vodafonetreats
100,1505505490029133824,742523720,2022-03-20T11:24:14.000Z,@VodafoneUK I can test negative and leave the house in this gorgeous weather🦠🌞,wiltshiregal,Sarah 😍💕,UK,test negative leave house gorgeous weather
101,1505505273716391939,929030738258907138,2022-03-20T11:23:22.000Z,@VodafoneUK I'm so happy when you say that I am a mum #VodafoneTreats #InternationalDayOfHappiness,MaximumEffort74,Amber Baxter,"Nottingham, England",happy mum vodafonetreats internationaldayofhappiness
102,1505504399728291846,321618925,2022-03-20T11:19:54.000Z,"@VodafoneUK signed up for Vodafone broadband. Had email confirming installation date of 15/3/22 and activation date of 16th. Had the 15 off work but no one turned up. they turned up on the 16th just as my wife was supposed to be going to work, which made her very late. Bad start",Gasman_Nigel,Nigel,Cannock,signed vodafone broadband email confirming installation date activation date th work turned up turned th wife supposed going work late bad start
104,1505504027714498563,24059279,2022-03-20T11:18:25.000Z,@VodafoneUK I’m so happy when I get home from work and I will have my phone back #VodafoneTreats,rjpsimpson,Richard Simpson,West Yorkshire,happy home work phone vodafonetreats
106,1505503802824273924,744922425834496000,2022-03-20T11:17:32.000Z,"@VodafoneUK I'm so happy when you get a chance to go to the same time?

Okay auto correct...sounds like back to the future does that 😂",elliot_stoney56,Elliot Stoney,"Bradford, England",happy chance time okay auto correctsounds like future
107,1505502189246160897,296647469,2022-03-20T11:11:07.000Z,@VodafoneUK I'm so happy that after more than 2 decades with @VodafoneUK I'm moving both numbers to @SkyUK who offer better value and not try to increase monthly cost by 80% at renewal (yes EIGHTY PERCENT!) - such recognition by VF for loyalty.......,emelschwartz,emeles: wheres my Blue Tick?🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🇪🇺,"United Kingdom, Europe.",happy decades moving numbers offer better value try increase monthly cost renewal yes eighty percent recognition vf loyalty
108,1505501563137236995,368256015,2022-03-20T11:08:38.000Z,@VodafoneUK F1 is on,WheelerAw,Andrew Wheeler,"ÜT: 52.046677,-0.787004",f
109,1505500849715523591,1019174869,2022-03-20T11:05:48.000Z,"@VodafoneUK I'm so happy when you are free to come to the wedding and I hope you enjoy it.

#InternationalDayOfHappiness",GingerMartian,Lucy Tempest,[Redacted],happy free come wedding hope enjoy it internationaldayofhappiness
110,1505500484592967682,88241952,2022-03-20T11:04:21.000Z,"@VodafoneUK I'm so happy when you are free to come to the office.

#InternationalDayOfHappiness

Erm...",Tyw77,Thu Win,"Here, there, everywhere",happy free come office internationaldayofhappiness erm
111,1505500460207255553,1726523294,2022-03-20T11:04:15.000Z,@VodafoneUK Vodafone send me treats! 😁,KwiecienChris,chris kwiecien,"Malvern Wells, England",vodafone send treats
112,1505500224042770432,2248659376,2022-03-20T11:03:18.000Z,@VodafoneUK i got this text as i’m in amsterdam yet my phone does not work at all https://t.co/wTCZruYtFn,BransbyLeah,leah,NCL/END -she/her,got text amsterdam phone work
114,1505499268815204356,830323261053472769,2022-03-20T10:59:31.000Z,@VodafoneUK I am so happy when we get there and then we have a good time together #InternationalDayOfHappiness  #vodafonetreats,Princess_Debz,Princess Debz,"London, England",happy good time internationaldayofhappiness vodafonetreats
115,1505498563178074114,2248659376,2022-03-20T10:56:42.000Z,@VodafoneUK hello i need help pls,BransbyLeah,leah,NCL/END -she/her,hello need help pls
116,1505498291378823175,246430346,2022-03-20T10:55:38.000Z,@VodafoneUK I’m so happy when you are here so you have your own room to clean up #VodafoneTreats 😂 #InternationalDayOfHappiness,tdeacon23,🌺🌻Tina Deacon🌻🌺,kent England,happy room clean vodafonetreats internationaldayofhappiness
117,1505498283875131395,15150731,2022-03-20T10:55:36.000Z,@VodafoneUK Am I able to purchase an unlimited xtra plan for 30 days? Or does it have to be a minimum contract??,Roxannabelle,Rox;;️,Pill/Bristol/Manchester,able purchase unlimited xtra plan days minimum contract
118,1505497893792370689,2174139173,2022-03-20T10:54:03.000Z,@VodafoneUK I’m so happy when the sun is out,Harrison11Susan,Susan Harrison,hartlepool,happy sun
119,1505497069238329344,574059465,2022-03-20T10:50:46.000Z,@VodafoneUK I'm so happy when the sun shines....,patriciarreade,Trish Reade 🌹🌼🐱🐞🐾,Yorkshire ,happy sun shines
120,1505496671400210434,473351782,2022-03-20T10:49:11.000Z,"@VodafoneUK I’m so happy when you are home relaxing 😎 

#InternationalDayOfHappiness",emmajones2324,Emma “Ledge” Jones,Burton upon Trent ,happy home relaxing internationaldayofhappiness
121,1505496574163668994,3882672035,2022-03-20T10:48:48.000Z,"@VodafoneUK I'm so happy when you are definitely back to me sooner and we have chosen a newer one for the use of Haig's Battle.

Oh!!! Maybe Military History is all I talk about! 😉🤭

#VodafoneTreats #InternationalDayOfHappiness",SusieRother,Susie,England,happy definitely sooner chosen newer use haigs battle oh maybe military history talk about vodafonetreats internationaldayofhappiness
122,1505496471034019840,19648966,2022-03-20T10:48:24.000Z,@VodafoneUK I’m so happy when I get home lol lol I love you buddy #vodafonetreats,dazzmiller,Darren Miller,"East Kilbride, Scotland",happy home lol lol love buddy vodafonetreats
123,1505495820799459329,18634145,2022-03-20T10:45:49.000Z,@VodafoneUK I’m so happy when they get back from their job so we will see how much they have to pay for their own food #vodafonetreats,JulieMillar,Julie Millar 😊🌹🤩🌻🌼,"Overton, Hampshire",happy job pay food vodafonetreats
124,1505495795629449219,276705896,2022-03-20T10:45:43.000Z,@VodafoneUK I’m so happy when you are home now too so I don’t have time to get back home until tomorrow morning #HomeIsMyHappyPlace #InternationalDayOfHappiness #VodafoneTreats 🏡 🥰,LinzieP17,💫🤍 Linzie P 🤍💫,Birmingham,happy home time home tomorrow morning homeismyhappyplace internationaldayofhappiness vodafonetreats
125,1505495564808503298,486747880,2022-03-20T10:44:48.000Z,"@VodafoneUK I'm so happy when the State-funded boom spectacularly ends. 
🤣🤣
#InternationalDayOfHappiness",LewHolmes81,Lew,Old England,happy statefunded boom spectacularly ends internationaldayofhappiness
127,1505494833695182852,917142930661441537,2022-03-20T10:41:53.000Z,"@VodafoneUK I'm so happy when I have a feeling of being a bit of a night owl like me and I love it.
#VodafoneTreats",Shizzamftw,Shizzamy,Scotland,happy feeling bit night owl like love it vodafonetreats
128,1505494808852414468,41996381,2022-03-20T10:41:47.000Z,"@VodafoneUK #InternationalDayOfHappiness #vodafonetreats
I'm so happy when I have a client who was a RA in a legal dept.",vivi74uk,Amanda Roe,UK,internationaldayofhappiness vodafonetreats happy client ra legal dept
129,1505494660663414785,1097626764531154945,2022-03-20T10:41:12.000Z,@VodafoneUK I'm so happy when you are interested in the future please can you send me the details. #VodafoneTreats #InternationalDayOfHappiness,choudryhusain,Husain Choudry,"Leeds, England",happy interested future send details vodafonetreats internationaldayofhappiness
131,1505494408682262529,34129772,2022-03-20T10:40:12.000Z,@VodafoneUK I'm so happy when you are busy 😅,_AliSufyan,Ali علی,United Kingdom,happy busy
132,1505494320056606728,341597006,2022-03-20T10:39:51.000Z,@VodafoneUK I'm so happy when you are not going to be able to get the best diet 😟,GersPunk,Col WATP," ,Dumfries Scotland.",happy going able best diet
134,1505494203308122114,751082826,2022-03-20T10:39:23.000Z,@VodafoneUK #InternationalDayOfHappiness #VodafoneTreats ...the sun is shining 🌞,BeeRummie,PaulP,Northampton,internationaldayofhappiness vodafonetreats the sun shining
135,1505493132296785922,350415592,2022-03-20T10:35:08.000Z,@VodafoneUK I'm so happy when you are not racing anymore #vodafonetreats,LuckyLondonLou,Louisa,London,happy racing anymore vodafonetreats
136,1505493087363207169,22173832,2022-03-20T10:34:57.000Z,@VodafoneUK I’m so happy when you are all ready for your birthday to come to see me #vodafonetreats,KatieVGingell,💃🏻 Katie Gingell 💃🏻,"Bristol, England",happy ready birthday come vodafonetreats
137,1505492816906145806,318971987,2022-03-20T10:33:52.000Z,"@VodafoneUK I'm so happy when you say you love me so much more than you want me to start with ❤️
#InternationalDayOfHappiness",amylegan2877,amy,", south wales",happy love want start internationaldayofhappiness
142,1505492465566035971,21019619,2022-03-20T10:32:29.000Z,"@VodafoneUK I’m so happy when you are home safe and sound and you will be able to come back in time for your order and your flight to work today 
#VodafoneTreats #InternationalDayOfHappiness",dperry83,Daniel Perehovsky 🇪🇺🇬🇧🇺🇦,"Stoke-on-Trent, England",happy home safe sound able come time order flight work today vodafonetreats internationaldayofhappiness
143,1505492196207824898,15150731,2022-03-20T10:31:24.000Z,@VodafoneUK I’ve got a mobile router with a voda sim. But my main provider for my mobile is Three who can’t help me with data at the moment - they recommend spending my whole time on airplane mode and using WiFi where possible.,Roxannabelle,Rox;;️,Pill/Bristol/Manchester,got mobile router voda sim main provider mobile help data moment recommend spending time airplane mode wifi possible
144,1505492107783548934,384560112,2022-03-20T10:31:03.000Z,@VodafoneUK I’m so happy when you are home so you don’t need me too much lol I love it too much and I’ll be fine too,GeorgeCowan,Britishgamerni 🇬🇧🏳️‍🌈,"Newtownards, United Kingdom",happy home need lol love fine
146,1505491786415939586,1091000547744854018,2022-03-20T10:29:47.000Z,@VodafoneUK I’m so happy when you get home from work #InternationalDayOfHappiness,scotsbint,margaret dixon,west midlands,happy home work internationaldayofhappiness
147,1505491761967337477,1710302744,2022-03-20T10:29:41.000Z,@VodafoneUK I'm so happy when I wake up to see Vodafone have put up a new post on twitter #IinternationalDayOfHappiness,krisc334,Kris Conway,in the mind ,happy wake vodafone new post twitter iinternationaldayofhappiness
149,1505491303525761029,394213778,2022-03-20T10:27:52.000Z,@VodafoneUK I’m so happy when you are home now and again for all the good news that you are doing well with your family merry Christmas Eve happy belated birthday buddy 👍🏻,Flixo84,Mark Fielden,Shrewsbury,happy home good news family merry christmas eve happy belated birthday buddy
